Responden,Layout,Bersih,Harga,Kasir,Lengkap,AC,Diskon,Parkir
1,3,3,3,4,3,3,4,3
2,3,3,3,3,3,3,4,3
3,3,3,3,3,3,3,4,3
4,4,3,3,2,2,3,4,3
5,3,3,3,2,1,4,3,3
6,4,3,3,3,2,4,3,3
7,2,3,3,4,3,2,3,3
8,3,3,3,2,2,2,4,3
9,4,3,3,5,2,2,4,3
10,4,3,5,2,2,4,2,4
11,4,4,5,5,3,4,2,4
12,5,4,3,5,2,4,2,4
13,5,4,5,2,1,3,2,2
14,3,5,3,5,2,3,5,2
15,4,3,5,3,2,3,5,2
16,4,5,4,5,1,3,3,2
17,5,3,5,5,2,3,3,2
18,4,5,3,5,4,2,3,3
19,3,4,4,3,4,2,4,4
20,3,5,3,3,4,2,4,3
21,3,3,3,4,3,3,5,4
22,3,3,3,4,3,3,3,3
23,3,4,4,4,3,3,2,3
24,2,3,3,2,3,4,3,3
25,4,3,3,2,2,4,3,2
